기간,자치구,구분,계,맑음,흐림,비,안개,눈,기타/불명
,강서구,발생건수,"1,715","1,465",116,117,-,15,2
,,사망자,26,20,3,3,-,-,-
,,부상자,"2,517","2,129",181,172,-,33,2
,구로구,발생건수,"1,415","1,240",61,102,-,10,2
,,사망자,19,15,1,2,-,-,1
,,부상자,"2,165","1,879",98,173,-,13,2
,금천구,발생건수,939,777,47,92,-,11,12
,,사망자,10,10,-,-,-,-,-
,,부상자,"1,419","1,157",77,143,-,15,27
,영등포구,발생건수,"2,157","1,801",172,170,1,13,-
,,사망자,29,24,2,3,-,-,-
,,부상자,"3,128","2,559",276,271,1,21,-
,동작구,발생건수,"1,233","1,057",55,106,-,13,2
,,사망자,11,10,1,-,-,-,-
,,부상자,"1,848","1,569",91,168,-,18,2
,관악구,발생건수,"1,753","1,489",72,128,-,8,56
,,사망자,20,13,1,3,-,-,3
,,부상자,"2,482","2,053",116,233,-,12,68
,서초구,발생건수,"2,055","1,798",70,171,-,15,1
,,사망자,19,17,1,1,-,-,-
,,부상자,"3,304","2,892",115,273,-,23,1
,강남구,발생건수,"3,610","3,099",159,267,-,25,60
,,사망자,31,24,3,3,-,-,1
,,부상자,"5,326","4,566",252,387,-,33,88
,송파구,발생건수,"2,473","1,984",203,184,3,27,72
,,사망자,21,15,4,2,-,-,-
,,부상자,"3,556","2,846",275,274,3,70,88
,강동구,발생건수,"1,356","1,168",63,93,1,14,17
,,사망자,12,6,2,4,-,-,-
,,부상자,"1,942","1,645",97,139,2,32,27
2014,합계,발생건수,"40,792","35,339","2,011","2,463",7,302,670
,,사망자,400,338,32,23,-,5,2
,,부상자,"57,345","49,542","2,835","3,597",12,463,896
,종로구,발생건수,"1,314","1,176",44,85,-,8,1
,,사망자,11,10,1,-,-,-,-
,,부상자,"1,790","1,576",58,134,-,20,2
,중구,발생건수,"1,305","1,073",134,79,1,7,11
,,사망자,7,6,1,-,-,-,-
,,부상자,"1,785","1,477",174,108,1,10,15
,용산구,발생건수,"1,350","1,222",27,64,-,6,31
,,사망자,8,7,-,1,-,-,-
,,부상자,"1,971","1,789",38,102,-,8,34
,성동구,발생건수,"1,189","1,069",19,56,-,11,34
,,사망자,11,10,-,1,-,-,-
,,부상자,"1,712","1,532",31,77,-,19,53
,광진구,발생건수,"1,480","1,347",47,72,-,10,4
,,사망자,12,10,-,2,-,-,-
,,부상자,"2,081","1,886",65,111,-,15,4
,동대문구,발생건수,"1,848","1,588",95,103,-,14,48
,,사망자,27,23,2,1,-,1,-
,,부상자,"2,407","2,038",129,150,-,18,72
,중랑구,발생건수,"1,622","1,434",66,80,1,16,25
,,사망자,11,9,-,1,-,1,-
,,부상자,"2,180","1,925",95,107,1,20,32
,성북구,발생건수,"1,664","1,462",89,96,-,16,1
,,사망자,17,15,2,-,-,-,-
,,부상자,"2,227","1,969",116,119,-,22,1
,강북구,발생건수,"1,313",967,245,93,-,6,2
,,사망자,12,9,3,-,-,-,-
,,부상자,"1,773","1,324",328,111,-,8,2
,도봉구,발생건수,919,765,39,55,-,6,54
,,사망자,14,12,1,1,-,-,-
,,부상자,"1,205",997,49,79,-,12,68
,노원구,발생건수,"1,516","1,364",47,90,-,10,5
,,사망자,17,13,2,1,-,1,-
,,부상자,"2,038","1,843",64,112,-,14,5
,은평구,발생건수,"1,325","1,147",88,71,-,9,10
,,사망자,11,7,3,1,-,-,-
,,부상자,"1,889","1,643",118,90,-,20,18
,서대문구,발생건수,"1,122",966,84,60,-,10,2
,,사망자,16,15,1,-,-,-,-
,,부상자,"1,590","1,368",126,84,-,10,2
,마포구,발생건수,"1,759","1,594",48,106,1,10,-
,,사망자,20,19,1,-,-,-,-
,,부상자,"2,633","2,386",81,148,1,17,-
,양천구,발생건수,"1,466","1,167",164,105,-,11,19
,,사망자,13,11,2,-,-,-,-
,,부상자,"2,000","1,599",212,155,-,12,22
,강서구,발생건수,"1,806","1,599",89,104,-,9,5
,,사망자,32,22,4,6,-,-,-
,,부상자,"2,614","2,249",166,175,-,14,10
,구로구,발생건수,"1,566","1,388",51,115,-,11,1
,,사망자,19,18,-,-,-,1,-
,,부상자,"2,205","1,927",71,194,-,12,1
,금천구,발생건수,"1,029",888,51,68,-,11,11
,,사망자,13,10,3,-,-,-,-
,,부상자,"1,535","1,333",75,98,-,17,12
,영등포구,발생건수,"2,193","1,926",95,153,-,16,3
,,사망자,26,25,1,-,-,-,-
,,부상자,"3,128","2,737",149,218,-,18,6
,동작구,발생건수,"1,399","1,204",85,94,-,13,3
,,사망자,13,12,1,-,-,-,-
,,부상자,"1,901","1,619",111,147,-,20,4
,관악구,발생건수,"1,716","1,434",56,103,-,14,109
,,사망자,22,18,1,2,-,1,-
,,부상자,"2,317","1,937",76,155,-,17,132
,서초구,발생건수,"2,217","1,987",54,157,2,9,8
,,사망자,13,12,-,1,-,-,-
,,부상자,"3,446","3,075",80,258,6,15,12
,강남구,발생건수,"3,624","3,280",89,206,1,30,18
,,사망자,17,14,1,2,-,-,-
,,부상자,"5,269","4,741",144,298,2,58,26
,송파구,발생건수,"2,608","2,002",154,164,1,32,255
,,사망자,24,18,2,2,-,-,2
,,부상자,"3,635","2,797",201,235,1,53,348
,강동구,발생건수,"1,442","1,290",51,84,-,7,10
,,사망자,14,13,-,1,-,-,-
,,부상자,"2,014","1,775",78,132,-,14,15
2015,합계,발생건수,"41,665","36,324","1,725","3,132",6,125,353
,,사망자,376,308,28,38,-,-,2
,,부상자,"58,656","51,077","2,406","4,512",6,202,453
,종로구,발생건수,"1,414","1,232",54,125,-,3,-
,,사망자,8,8,-,-,-,-,-
,,부상자,"1,933","1,677",73,180,-,3,-
,중구,발생건수,"1,338","1,108",111,110,-,4,5
,,사망자,8,8,-,-,-,-,-
,,부상자,"1,803","1,487",146,161,-,4,5
,용산구,발생건수,"1,516","1,350",40,118,-,6,2
,,사망자,18,17,-,1,-,-,-
,,부상자,"2,110","1,865",62,172,-,9,2
,성동구,발생건수,"1,227","1,099",33,86,-,4,5
,,사망자,8,7,-,1,-,-,-
,,부상자,"1,725","1,527",55,131,-,5,7
,광진구,발생건수,"1,235","1,127",27,76,-,2,3
,,사망자,17,14,-,3,-,-,-
,,부상자,"1,744","1,582",47,110,-,2,3
,동대문구,발생건수,"2,085","1,803",106,165,-,2,9
,,사망자,16,13,2,1,-,-,-
,,부상자,"2,731","2,355",144,218,-,4,10
,중랑구,발생건수,"1,722","1,495",66,104,-,4,53
,,사망자,16,14,-,1,-,-,1
,,부상자,"2,269","1,970",90,143,-,5,61
,성북구,발생건수,"1,680","1,438",113,124,-,1,4
,,사망자,19,15,4,-,-,-,-
,,부상자,"2,286","1,964",141,176,-,1,4
,강북구,발생건수,"1,265","1,025",142,92,-,1,5
,,사망자,16,14,1,1,-,-,-
,,부상자,"1,684","1,370",176,130,-,1,7
,도봉구,발생건수,914,800,29,82,-,3,-
,,사망자,8,8,-,-,-,-,-
,,부상자,"1,255","1,079",48,120,-,8,-
,노원구,발생건수,"1,459","1,308",43,99,1,8,-
,,사망자,15,13,-,2,-,-,-
,,부상자,"2,098","1,892",52,138,1,15,-
,은평구,발생건수,"1,203","1,048",52,94,-,2,7
,,사망자,16,12,2,2,-,-,-
,,부상자,"1,673","1,442",76,138,-,8,9
,서대문구,발생건수,"1,071",946,61,63,1,-,-
,,사망자,13,12,-,1,-,-,-
,,부상자,"1,492","1,314",85,92,1,-,-
,마포구,발생건수,"1,802","1,613",37,148,-,2,2
,,사망자,17,11,2,4,-,-,-
,,부상자,"2,730","2,441",45,240,-,2,2
,양천구,발생건수,"1,596","1,365",100,107,1,4,19
,,사망자,14,11,1,2,-,-,-
,,부상자,"2,231","1,901",150,148,1,10,21
,강서구,발생건수,"1,932","1,757",43,128,-,2,2
,,사망자,12,11,-,1,-,-,-
,,부상자,"2,762","2,519",53,184,-,3,3
,구로구,발생건수,"1,508","1,297",54,152,-,4,1
,,사망자,19,16,1,2,-,-,-
,,부상자,"2,127","1,830",79,211,-,6,1
,금천구,발생건수,914,796,44,68,-,3,3
,,사망자,10,9,1,-,-,-,-
,,부상자,"1,374","1,205",66,97,-,3,3
,영등포구,발생건수,"2,462","2,124",115,206,-,14,3
,,사망자,28,19,5,4,-,-,-
,,부상자,"3,564","3,062",178,289,-,32,3
,동작구,발생건수,"1,386","1,225",52,98,1,9,1
,,사망자,7,7,-,-,-,-,-
,,부상자,"1,994","1,774",72,129,1,17,1
,관악구,발생건수,"1,625","1,424",44,107,-,11,39
,,사망자,12,10,-,2,-,-,-
,,부상자,"2,135","1,847",73,152,-,15,48
,서초구,발생건수,"2,160","1,900",75,175,1,5,4
,,사망자,20,12,3,5,-,-,-
,,부상자,"3,358","2,974",110,262,1,7,4
,강남구,발생건수,"3,970","3,569",80,298,-,15,8
,,사망자,20,18,1,1,-,-,-
,,부상자,"5,686","5,093",110,445,-,22,16
,송파구,발생건수,"2,687","2,167",138,200,-,11,171
,,사망자,16,11,3,1,-,-,1
,,부상자,"3,763","3,039",190,284,-,15,235
,강동구,발생건수,"1,494","1,308",66,107,1,5,7
,,사망자,23,18,2,3,-,-,-
,,부상자,"2,129","1,868",85,162,1,5,8
2016,합계,발생건수,"40,039","35,514","1,583","2,462",6,131,343
,,사망자,348,282,27,36,-,-,3
,,부상자,"55,669","49,187","2,313","3,509",9,190,461
,종로구,발생건수,"1,299","1,151",61,84,1,2,-
,,사망자,9,3,3,3,-,-,-
,,부상자,"1,748","1,539",85,120,1,3,-
,중구,발생건수,"1,288","1,115",86,81,-,5,1
,,사망자,17,13,3,1,-,-,-
,,부상자,"1,716","1,476",113,119,-,7,1
,용산구,발생건수,"1,428","1,317",33,76,-,1,1
,,사망자,12,10,1,1,-,-,-
,,부상자,"2,069","1,907",47,113,-,1,1
,성동구,발생건수,"1,099","1,028",15,50,-,3,3
,,사망자,15,15,-,-,-,-,-
,,부상자,"1,541","1,432",23,73,-,8,5
,광진구,발생건수,"1,045",916,44,73,-,4,8
,,사망자,9,7,-,2,-,-,-
